"SiteID","RegionCode","Region","Location","RawSite","Lat","Long","Habitat","Comments"
44,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J06",58.57,-134.91,"Sand-gravel",""
45,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J07",58.56,-134.92,"Sand-Gravel",""
46,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J08",58.55,-134.91,"Sand-Gravel",""
47,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J09",58.56,-134.88,"not reported",""
48,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J10",58.55,-134.87,"not reported",""
49,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J11",58.55,-134.9,"not reported",""
50,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J12",58.55,-134.9,"not reported",""
51,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J13",58.55,-134.9,"not reported",""
52,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Sentinel Island","J14",58.55,-134.93,"not reported",""
53,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","J15",58.57,-134.93,"not reported",""
54,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","J04",58.57,-134.91,"not reported",""
55,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J01",57.27,-133.84,"not reported",""
56,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J02",57.28,-133.83,"not reported",""
57,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J03",57.31,-133.83,"not reported",""
58,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J04",57.28,-133.87,"not reported",""
59,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J05",57.3,-133.8,"not reported",""
60,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, Little Brother Island","J06",57.29,-133.79,"not reported",""
61,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, Little Brother Island","J07",57.29,-133.79,"not reported",""
62,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J08",57.3,-133.8,"not reported",""
63,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J09",57.31,-133.82,"not reported",""
64,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J10",57.3,-133.84,"not reported",""
65,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J11",57.31,-133.85,"not reported",""
66,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J12",57.29,-133.87,"not reported",""
67,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J13",57.3,-133.86,"not reported",""
68,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J14",57.3,-133.83,"not reported",""
69,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J15",57.31,-133.82,"not reported",""
70,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J16",57.28,-133.84,"not reported",""
71,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","J17",57.31,-133.85,"not reported",""
72,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","J18",57.29,-133.8,"not reported",""
91,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Chaik Bay","B01",57.31,-134.47,"Eelgrass",""
92,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Chaik Bay","B02",57.31,-134.47,"Eelgrass",""
93,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B03",58.25,-134.9,"Eelgrass",""
94,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B04",58.25,-134.9,"Eelgrass",""
97,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B11",58.24,-134.9,"Sand-Gravel",""
98,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B12",58.24,-134.9,"Sand-Gravel",""
99,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B09",58.25,-134.89,"Kelp",""
100,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B10",58.25,-134.88,"Kelp",""
101,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B07",58.25,-134.91,"Eelgrass",""
102,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Funter Bay","B08",58.25,-134.9,"Eelgrass",""
103,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B13",57.37,-134.18,"Eelgrass",""
104,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B14",57.38,-134.17,"Eelgrass",""
105,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B15",57.36,-134.13,"Kelp",""
106,"GOA","Gulf of Alaska","southeastern Alaska, Admiralty Island, Pybus Bay","B16",57.33,-134.12,"Kelp",""
107,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B01",55.36,-133.58,"Eelgrass",""
108,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B02",55.35,-133.58,"Eelgrass",""
109,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B03",55.35,-133.58,"Kelp",""
110,"GOA","Gulf of Alaska","southeastern Alaska, Baker Island, Port San Antonio","B04",55.35,-133.58,"Kelp",""
111,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Port Conclusion, Ship Cove","B01",56.25,-134.66,"Kelp",""
112,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Port Conclusion, Ship Cove","B02",56.25,-134.66,"Kelp",""
113,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Cosmos Cove","B39",57.24,-134.87,"Eelgrass",""
114,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Cosmos Cove","B40",57.24,-134.88,"Eelgrass",""
115,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Hoonah Sound","B01",57.75,-135.79,"Eelgrass",""
116,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Hoonah Sound","B02",57.74,-135.79,"Eelgrass",""
117,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Kelp Bay","B03",57.26,-134.86,"Kelp",""
118,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, Kelp Bay","B04",57.26,-134.88,"Kelp",""
119,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B05",58.04,-135.67,"Eelgrass",""
120,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B06",58.05,-135.67,"Eelgrass",""
121,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B07",58.03,-135.64,"Kelp",""
122,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Frederick, Neka Bay","B08",58.05,-135.64,"Kelp",""
123,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B09",58.11,-136.27,"Eelgrass",""
124,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B10",58.1,-136.27,"Eelgrass",""
125,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B11",58.15,-136.3,"Kelp",""
126,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Port Althorp","B12",58.12,-136.3,"Kelp",""
127,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B13",57.53,-134.97,"Eelgrass",""
128,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B14",57.53,-134.97,"Eelgrass",""
129,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B15",57.52,-134.96,"Sand-Gravel",""
130,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Sitkoh Bay","B16",57.52,-134.96,"Sand-Gravel",""
131,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig airport","B01",55.57,-133.09,"Eelgrass",""
132,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig airport","B02",55.57,-133.09,"Eelgrass",""
133,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig boat ramp","B03",55.56,-133.09,"Sand-Gravel",""
134,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig boat ramp","B04",55.56,-133.09,"Sand-Gravel",""
135,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Cole Island","B05",55.5,-133.16,"Eelgrass",""
136,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Cole Island","B06",55.5,-133.16,"Eelgrass",""
137,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, False Island","B07",55.48,-133.14,"Eelgrass",""
138,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, False Island","B08",55.48,-133.14,"Eelgrass",""
139,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Fish Egg Island","B09",55.5,-133.16,"Kelp",""
140,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Fish Egg Island","B10",55.5,-133.16,"Kelp",""
141,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig sawmill","B11",55.53,-133.1,"Eelgrass",""
142,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig sawmill","B12",55.53,-133.1,"Eelgrass",""
143,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig sawmill","B13",55.5,-133.13,"Sand-Gravel",""
144,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig sawmill","B14",55.51,-133.12,"Sand-Gravel",""
145,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig sawmill","B15",55.5,-133.13,"Kelp",""
146,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Klawock Inlet, Craig highway","B16",55.51,-133.12,"Kelp",""
147,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Zimovia Strait, Olive Cove","B01",56.18,-132.31,"Eelgrass",""
148,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Zimovia Strait, Olive Cove","B02",56.19,-132.3,"Eelgrass",""
149,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Zimovia Strait, Anita Bay","B03",56.22,-132.37,"Kelp",""
150,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Zimovia Strait, Anita Bay","B04",56.22,-132.38,"Kelp",""
151,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Steamer Bay","B05",56.15,-132.69,"Eelgrass",""
152,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Steamer Bay","B06",56.15,-132.69,"Eelgrass",""
153,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Steamer Bay","B07",56.15,-132.69,"Kelp",""
154,"GOA","Gulf of Alaska","southeastern Alaska, Etolin Island, Steamer Bay","B08",56.16,-132.71,"Kelp",""
155,"GOA","Gulf of Alaska","southeastern Alaska, Heceta Island, Warm Chuck Inlet","B01",55.77,-133.53,"Eelgrass",""
156,"GOA","Gulf of Alaska","southeastern Alaska, Heceta Island, Warm Chuck Inlet","B02",55.77,-133.53,"Eelgrass",""
157,"GOA","Gulf of Alaska","southeastern Alaska, Heceta Island, Warm Chuck Inlet","B03",55.75,-133.47,"Eelgrass",""
158,"GOA","Gulf of Alaska","southeastern Alaska, Heceta Island, Warm Chuck Inlet","B04",55.75,-133.47,"Eelgrass",""
159,"GOA","Gulf of Alaska","southeastern Alaska, Auke Bay, Auke Nu Cove","B01",58.38,-134.69,"Eelgrass",""
160,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Bridget Cove, south","B08",58.62,-134.94,"Eelgrass",""
161,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Bridget Cove, south","B09",58.62,-134.94,"Eelgrass",""
162,"GOA","Gulf of Alaska","southeastern Alaska, Gravina Island, Bostwick Inlet","B01",55.23,-131.75,"Eelgrass",""
163,"GOA","Gulf of Alaska","southeastern Alaska, Gravina Island, Bostwick Inlet","B02",55.23,-131.73,"Eelgrass",""
164,"GOA","Gulf of Alaska","southeastern Alaska, Gravina Island, Bostwick Inlet","B03",55.22,-131.73,"Kelp",""
165,"GOA","Gulf of Alaska","southeastern Alaska, Gravina Island, Bostwick Inlet","B04",55.2,-131.72,"Kelp",""
166,"GOA","Gulf of Alaska","southeastern Alaska, Kuiu Island, Port Camden","B01",56.65,-133.95,"Kelp",""
167,"GOA","Gulf of Alaska","southeastern Alaska, Kuiu Island, Port Camden","B02",56.71,-133.95,"Kelp",""
168,"GOA","Gulf of Alaska","southeastern Alaska, Kupreanof Island, Kah Sheets Bay","B01",56.51,-133.09,"Eelgrass",""
169,"GOA","Gulf of Alaska","southeastern Alaska, Kupreanof Island, Kah Sheets Bay","B02",56.51,-133.09,"Eelgrass",""
170,"GOA","Gulf of Alaska","southeastern Alaska, Kupreanof Island, Kah Sheets Bay","B03",56.51,-133.12,"Kelp",""
171,"GOA","Gulf of Alaska","southeastern Alaska, Stephens Passage, Farragut Bay","B04",57.12,-133.2,"Kelp",""
172,"GOA","Gulf of Alaska","southeastern Alaska, Stephens Passage, Farragut Bay","B05",57.11,-133.2,"Kelp",""
173,"GOA","Gulf of Alaska","southeastern Alaska, Stephens Passage, Hobart Bay","B06",57.42,-133.45,"Kelp",""
174,"GOA","Gulf of Alaska","southeastern Alaska, Stephens Passage, Hobart Bay","B07",57.42,-133.45,"Kelp",""
175,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, St. James Bay","B08",58.61,-135.2,"Eelgrass",""
176,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, St. James Bay","B09",58.57,-135.18,"Eelgrass",""
177,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Shakan Bay","B17",56.19,-133.51,"Eelgrass",""
178,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Shakan Bay","B18",56.19,-133.51,"Eelgrass",""
179,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Exchange Cove","B19",56.21,-133.06,"Eelgrass",""
180,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Exchange Cove","B20",56.24,-133.07,"Eelgrass",""
181,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Exchange Cove","B21",56.24,-133.07,"Kelp",""
182,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Exchange Cove","B22",56.23,-133.07,"Kelp",""
183,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Shakan Bay","B23",56.14,-133.54,"Kelp",""
184,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Shakan Bay","B24",56.14,-133.53,"Kelp",""
185,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Twelve Mile Arm","B25",55.41,-132.68,"Eelgrass",""
186,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Twelve Mile Arm","B26",55.42,-132.65,"Eelgrass",""
187,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Twelve Mile Arm","B27",55.42,-132.65,"Kelp",""
188,"GOA","Gulf of Alaska","southeastern Alaska, Prince of Wales Island, Twelve Mile Arm","B28",55.44,-132.65,"Kelp",""
189,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B08",57.18,-135.34,"Eelgrass",""
190,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B09",57.16,-135.31,"Eelgrass",""
191,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B10",57.16,-135.31,"Eelgrass",""
192,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B11",57.16,-135.31,"Eelgrass",""
193,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B12",57.16,-135.32,"Kelp",""
194,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B13",57.16,-135.32,"Kelp",""
195,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B14",57.16,-135.34,"Sand-Gravel",""
196,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Katlian Bay","B15",57.16,-135.34,"Sand-Gravel",""
197,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Middle Island","B16",57.09,-135.44,"Eelgrass",""
198,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Middle Island","B17",57.09,-135.44,"Eelgrass",""
199,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Middle Island","B18",57.09,-135.44,"Kelp",""
200,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Pirate Cove","B19",56.98,-135.37,"Kelp",""
201,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Nakwasina Sound","B24",57.19,-135.38,"Eelgrass",""
202,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Nakwasina Sound","B25",57.19,-135.38,"Eelgrass",""
203,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Nakwasina Sound","B20",57.19,-135.38,"Eelgrass",""
204,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Nakwasina Sound","B21",57.19,-135.38,"Eelgrass",""
205,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Nakwasina Sound","B22",57.19,-135.38,"Sand-Gravel",""
206,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Nakwasina Sound","B23",57.19,-135.38,"Sand-Gravel",""
207,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Pirate Cove","B03",56.98,-135.37,"Eelgrass",""
208,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Pirate Cove","B04",56.98,-135.37,"Eelgrass",""
209,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Pirate Cove","B05",56.98,-135.37,"Eelgrass",""
210,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Pirate Cove","B26",56.98,-135.37,"Eelgrass",""
211,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Pirate Cove","B27",56.98,-135.37,"Kelp",""
212,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Sandy Cove","B28",56.97,-135.31,"Eelgrass",""
213,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Sandy Cove","B29",56.97,-135.32,"Kelp",""
214,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Sandy Cove","B06",56.97,-135.31,"Eelgrass",""
215,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Sandy Cove","B07",56.97,-135.31,"Eelgrass",""
217,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Sandy Cove","B31",56.97,-135.31,"Eelgrass",""
218,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Sandy Cove","B32",56.97,-135.31,"Kelp",""
219,"GOA","Gulf of Alaska","southeastern Alaska, Sitka Sound, Middle Island","B33",57.08,-135.45,"Eelgrass",""
221,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, St. John Baptist Bay","B35",57.28,-135.55,"Eelgrass",""
222,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, St. John Baptist Bay","B36",57.28,-135.55,"Eelgrass",""
223,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, St. John Baptist Bay","B37",57.28,-135.55,"Sand-Gravel",""
224,"GOA","Gulf of Alaska","southeastern Alaska, Baranof Island, St. John Baptist Bay","B38",57.28,-135.56,"Sand-Gravel",""
225,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Ushk Bay","B23",57.56,-135.61,"Eelgrass",""
226,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Ushk Bay","B24",57.57,-135.64,"Eelgrass",""
227,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Ushk Bay","B25",57.56,-135.65,"Eelgrass",""
228,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Ushk Bay","B26",57.56,-135.65,"Eelgrass",""
229,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Ushk Bay","B27",57.56,-135.66,"Sand-Gravel",""
230,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Ushk Bay","B28",57.56,-135.66,"Sand-Gravel",""
231,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Tenakee Springs, Crab Bay","B17",57.73,-135.38,"Eelgrass",""
232,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Tenakee Springs, Crab Bay","B18",57.73,-135.38,"Eelgrass",""
233,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Tenakee Springs","B19",57.77,-135.19,"Eelgrass",""
234,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Tenakee Springs","B20",57.77,-135.19,"Eelgrass",""
235,"GOA","Gulf of Alaska","southeastern Alaska, Chichagof Island, Tenakee Springs","B21",57.77,-135.18,"Sand-Gravel",""
