"GearCode","GearSpecific","Description","GearBasic","Specifications"
30,"BSEINE-W","Beaudreau's white beach seine","beach seine","15.2 m long x 2.4 m deep beach seine with 1.27 cm stretched knotless white mesh, Manufacturer = Memphis Net & Twine"
4,"BSEINE-WCS","Robard's small beach seine","beach seine","3.1x15 m beach seine is used to sample fish at any location where beaches allowed for deployment (e.g., sandy with no protruding rocks). We walk the net out to about 20 m into the water then draw it parallel to shore in a symmetrical manner with people drawing the wing lines attached to the net’s ends simultaneously at a constant rate. When the depth of the lagoon will not allow a walk set we perform a similar set using the boat to drag the net and pull it parallel to the shore."
33,"CAST-USGS","Yumi's cast net","cast net","6' diameter, 1/2"" mesh"
42,"DIPNET-USGS","Yumi's dip net","dip net","1/4"" mesh"
5,"DIPNET-WCS","Robard's dip net","dip net",""
48,"FYKE-Est","Mitch Lorenz's estuarine fyke net","fyke net",""
32,"FYKE-vonBiela","von Biela's fyke net","fyke net","Fyke nets consisted of a lead net extending perpendicular from the shoreline connected to the middle of a metal framed trap. A set of net wings extended from the side of the metal frame, angled toward the shoreline. Fish swimming along the shoreline encounter the lead net and are funneled towards the trap and collected in the cod-end. Fyke nets have been used extensively to study fishes in the Beaufort Sea as they are less-size selective, less-lethal, and are less-destructive to habitat than nearly any alternative (e.g., gillnet, beam trawl) and can be fished unattended for ~24 h. In addition, fyke nets are effective at catching fish because many species travel parallel to the shoreline of lagoons in between forays to other locations in the central part of the lagoons and other coastal areas (Craig, 1984). Fyke net specifications were similar among the sampling eras with a 61 m lead net and 15 m net wings constructed of 2.54 cm stretch mesh and the fyke net trap with an opening of 1.5 m wide and 1.2 m height made from 1.27 cm stretch mesh. The fyke net trap was set away from the shoreline at a water depth of ~1 m and no more than 60 m distance from shore. "
6,"FYKE-WCS","Robard's fyke net","fyke net","Fyke net is constructed with 3.1 mm stretch mesh, a 91.5 x 122 cm frame made of two rectangular conduit frames, 5 steel hoops, 2 throats, and a 15.2 m lead. The wings are anchored using rebar with the main line attached perpendicular to shore and the wings set at approximately 45°. Set time for fyke nets was more standardized than scientific gillnets throughout the three field seasons, however soak time still varied between sets to avoid mortality where catches were large."
36,"GILLNET-USGS","Yumi's gillnet","gill net","20' deep, variable mesh size 1/4"" - 3/4"""
27,"GILLNET-V","Olav's vertical gill net used for acoustic verification","gill net","DELETE. this gear is not in Events table and can be deleted"
7,"GILLNET-WCS","Robard's experimental gill net","gill net","Experimental gill nets consisted of 5 panels, each 25 ft in length, for a total net length of 125ft. Stretch measurement of the individual panels were: 1 inch, 1.5 inch, 2 inch, 3 inch, and 4 inch. Set sites selected in areas near the inflow/outflow (regardless of whether the connection is  open or closed), and points next to water quality sample points through the lagoon (i.e., central, marine edge, terrestrial edge and freshwater inlet ). Soaking nets are monitored in order to minimize risk of a) birds or other unintended animals being caught, and b) unnecessarily heavy fish mortalities. Set times vary based on success rate at the sample site. We use fyke nets to collect larger volumes of fish in locations where the depth and substrate were favorable."
52,"HAND","KBNERR capture of sand lance by hand","by hand","shovel and bucket"
8,"JIG","hook and line jigging","jig",""
44,"JIG-GOA","Olav's jigging set up","jig","Jigging was performed using line-counter trolling reels and a variety of tackle depending on which species were anticipated in the catch (Ormseth et al. 2017)"
43,"JIG-SSL","jigging set up for Sea Lion Prey study","jig","Hand-jigging with rod and reel at depths of 5 to 115 m. Three people jigged for 15 minutes at each site, one person with a 6-hook herring jig, and two people with 170 g dart lures. Captured fish were placed in a holding tank until jigging was finished at each site, and then each fish was identified, measured for length, and released. (Thedinga et al. 2006)"
45,"JIG-USGS","Yumi's jigging set up","jig","variable hook size: 3-10"
46,"JIG-WCS","Robard's jigging set up","jig","hand and line"
9,"MINNOW","Robard's minnow trap","minnow trap",""
41,"POT","USACE crab pot","crab pot","Pots  had a ~1.2 m2 footprint with pyramid-shaped frames made of metal rebar and covered with ~5 cm2 netting. They were deployed at depths of 15-66 m, baited with whole herring, and soaked for ~24 hours."
10,"PSEINE-ABL","ABL purse seine used by ABL in PWS and by Olave in GOAIERP","purse seine","The purse seine was 20 ft deep and 150 ft long with a sweep mesh size of 1 ¼ in and a bunt mesh of 1/8 in knotless netting in the area where fish are. The diameter of the net when fully deployed was 48 ft, resulting in a sampling footprint of 1,800 ft2."
47,"PSEINE-USGS","Yumi's purse seine","purse seine","150 ft long and 20 ft deep. Two panels: 100' panel 1/8"" mesh, 50' panel 1 1/4"" mesh"
49,"TRAWL-1m","Ken Dunton's 1m beam trawl","trawl-bottom","1m beam trawl with 1 mm mesh size towed for ~10 min."
35,"TRAWL-3m","von Biela's 3m plumb staff beam trawl","trawl-bottom","Beam trawl was the 3m plumb staff beam trawl for 2018 and 2019 that is described in Gunderson and Ellis 1986; in 2017 I used a 1m beam trawl that Ken Dunton had on the boat... I don't think we ever captured any fish with that so I doubt any trawls from 2017 made it in the data set you had. Ken uses this gear for inverts and once I saw it in action, we figured it just wasn't useful for fish and I started bringing the 3m PSBT."
12,"TRAWL-A","ABL aluette trawl (midwater) used by Johanna in Arctic and Katharine in Norton Sound","trawl-midwater","5 x 3.5 m mouth opening, 10 m foot-head ropes, 20 m length, 1.6 cm nylon mesh at the headrope decreasing to 0.4 cm at the codend.  Manufactured by Innovative Net Systems"
22,"TRAWL-AMOD","modified Aluette trawl used by Katharine in Norton Sound","trawl-surface","SOP of 20 minute tows at ~2.8 mph"
23,"TRAWL-B","Olav's beam trawl","trawl-bottom","The beam trawl was a 3.1 m bottom trawl based on the original design of Gunderson and Ellis
(1986) and modified by Abookire and Rose (2005)."
13,"TRAWL-M","Mamou trawl (surface) used by Katharine in Norton Sound","trawl-surface","12 m foot-head ropes, 15 m length, 1.6 cm nylon mesh at the headrope decreasing to 0.4 cm at the codend. Manufactured by Innovative Net Systems. (Miller et al. 2016)"
40,"TRAWL-MH","Yumi's modified herring trawl","trawl-midwater","37 m2 mouth opening, 30 m long, variable mesh from 5cm - 6 mm with 3 mm codend liner"
24,"TRAWL-MMM","Olav's mini me trawl fished at midwater","trawl-midwater","Small, fine-mesh otter trawl deployed at midwater for verification of acoustic sign. Net was 25 ft wide and 12 ft. high, with a 4mm knotless mesh liner. The 3/8-in Spectra single warp was attatched via a 90 ft. V-bridle to the two 40lb 2x4 ft plywood and steel doors that were connected to the net with 24 ft dandlines. For midwater use, this net had 50 lbs of lead weight attached to each end of the footrope at the point where the dandylines attached. Tow duration depended on the inensity and distribution of the acoustic backscatter. (Ormseth et al. 2017)"
26,"TRAWL-MMS","Olav's mini me trawl fished at surface","trawl-surface","Small, fine-mesh otter trawl deployed at surface for verification of acoustic sign. Net was 25 ft wide and 12 ft high, with a 4mm knotless mesh liner. The 3/8-in Spectra single warp was attatched via a 90 ft. V-bridle to the two 40lb 2x4 ft plywood and steel doors that were connected to the net with 24 ft dandlines. For surface use, 15 lbs of lead weight were attached to each end of the footrope at the point where the dandylines attached, and large inflatable buoys were attached to the headrope. Tow duration depended on the intensity and distribution of the acoustic backscatter. (Ormseth et al. 2017)"
37,"TRAWL-N","Seitz's surface trawl","trawl-surface","Nordic 264 rope trawl with 3-m doors and a 1.2-cm mesh liner in the cod end that fishes approximately 11 m deep with a width of 14.3 m."
38,"TRAWL-NE","Seitz's bottom trawl","trawl-bottom","400-mesh eastern trawl with 364 kg, Nor-Eastern Astoria V trawl doors, 3.2 cm mesh in the cod end, 8.9 cm in the intermediate and 10.2 cm in the body and wings"
14,"TRAWL-O","ABL otter trawl (bottom) used by ABL, USACE, and Mitch Lorenz","trawl-bottom","The trawl net was 5.2 m long, which included a 1.7-m long codend of 3.2-mm stretch mesh protected by an outer skirt of 29-mm stretch mesh. The mouth of the net was 2.6 m wide, 1.2 m deep, and connected to two weighted otter doors (33 cm by 61 cm) – one per side. The doors were attached to a 6.3-m long bridle of 1.3-cm braided line, which was tied to the boat with a 1.6-cm polypropylene tow line."
15,"TRAWL-PSB","Plumb staff beam trawl (bottom) used by Johanna in Arctic","trawl-bottom"," 3 m plumb staff beam trawl with 7 mm mesh in the body of the net and 4 mm mesh in the codend liner following methods described by Norcross et al. (2013)"
