"CiteID","FullCitation","doi","ProjectName"
19,"Robards, M. D., Piatt, J. F., Kettle, A. B., & Abookire, A. A. (1999). Temporal and geographic variation in fish communities of lower Cook Inlet, Alaska. Fishery Bulletin, 97, 962–977.","","USGS-Harding"
20,"Robards, M. D., Piatt, J. F., Kettle, A. B., & Abookire, A. A. (1999). Temporal and geographic variation in fish communities of lower Cook Inlet, Alaska. Fishery Bulletin, 97, 962–977.","","USGS-Kettle"
21,"Arimitsu, M. L., Piatt, J. F., Heflin, B., von Biela, V. R., & Schoen, S. K. (2018). Monitoring long-term changes in forage fish distribution, abundance and body condition. Exxon Valdez Oil Spill Restoration Project Final Report (Restoration Project 16120114-O). U.S. Geological Survey Alaska Science Center.","","USGS-PWS-2012-15"
22,"Arimitsu, M. L., & Piatt, J. F. (2008). Forage fish and their habitats in the Gulf of Alaska and Aleutian Islands: Pilot study to evaluate the opportunistic use of the U.S. Fish and Wildlife refuge support vessel for long-term studies (Issue January).","","USGS-Trawls-2006"
23,"Stanek, A., von Biela, V. R. and Brown, R. J., 2022, Fish communities of the Beaufort Sea, Alaska, across three decades, 1988-2019 (ver. 1.1, April 2022): U.S. Geological Survey data release, https://doi.org/10.5066/P9120X5B.","https://doi.org/10.5066/P9120X5B","vonBiela-Arctic"
24,"Tibbles, M., & Robards, M. D. (2018). Critical trophic links in southern Chukchi Sea lagoons. Food Webs, 17, e00099. https://doi.org/10.1016/j.fooweb.2018.e00099","https://doi.org/10.1016/j.fooweb.2018.e00099","WCS-ABLP"
25,"Fraley, K. M., Robards, M. D., Rogers, M. C., Vollenweider, J., Smith, B., Whiting, A., & Jones, T. (2021). Freshwater input and ocean connectivity affect habitats and trophic ecology of fishes in Arctic coastal lagoons. Polar Biology, 44(7), 1401-1414. https://doi.org/10.1007/s00300-021-02895-4","https://doi.org/10.1007/s00300-021-02895-4","WCS-ABLP"
26,"Fraley, K. M., Robards, M. D., Vollenweider, J., Whiting, A., Jones, T., & Rogers, M. C. (2021). Energy Condition of Subsistence-Harvested Fishes in Arctic Coastal Lagoons. Marine and Coastal Fisheries, 13(6), 665-672. https://doi.org/10.1002/mcf2.10188","https://doi.org/10.1002/mcf2.10188","WCS-ABLP"
27,"Beaudreau AH†, Bergstrom CA†, Whitney EJ, Duncan DH, Lundstrom NC (2022) Seasonal and interannual variation in high latitude estuarine fish community structure along a glacial to non glacial watershed gradient in Southeast Alaska. Environmental Biology of Fishes, https://doi.org/10.1007/s10641-022-01241-9.","https://doi.org/10.1007/s10641-022-01241-9","Beaudreau"
28,"Arimitsu, M. L., Piatt, J. F., Madison, E. N., Conaway, J. S., & Hillgruber, N. (2012). Oceanographic gradients and seabird prey community dynamics in glacial fjords. Fisheries Oceanography, 21, 148–169. https://doi.org/10.1111/j.1365-2419.2012.00616.x","https://doi.org/10.1111/j.1365-2419.2012.00616.x","USGS-KEFJ2007-08"
29,"Arimitsu, M. L., Piatt, J. F., & Mueter, F. J. (2016). Influence of glacier runoff on ecosystem structure in Gulf of Alaska fjords. Marine Ecology Progress Series, 560, 19–40.","https://doi.org/10.3354/meps11888","USGS-Glac-2004-11"
30,"Arimitsu, M. L., Litzow, M. A., Piatt, J. F., Robards, M. D., Abookire, A. A., & Drew, G. S. (2003). Inventory of Marine and Estuarine Fishes in Southeast and Central Alaska National Parks. In Program (Issue May).","","USGS-OuterSEAK"
31,"Blackburn, J.E. 1979. Pelagic and demersal fish assessment in the lower Cook Inlet estuary system. Pages 289-446 in Environmental Assessment of the Alaskan Continental Shelf. Annual reports of principle investigators for the year ending March 1979. Volume IV. Receptors - Fish, Littoral, Benthos. Outer Continental Shelf Environmental Assessment Program.","","USGS-1976-KBAY"
